Tárkonyos csülkös bableves csipetkével (bográcsban);170;bonyolult;"1. Bármilyen furcsán is hangzik, de a bogrács alján kezdjük el karamellizálni az 1 ek cukrot!) (isteni kontrasztot ad a sós, csülkös-bablevesünknek, ezért ne féljetek használni!) 2. Adjuk hozzá sertészsírt, majd az egyik fej apróra vágott vöröshagymát és pirítsuk aranysárgára (a másikat hagyjuk egyben! azt majd a zöldségekkel együtt használjuk fel). 3. Vágjuk nagyobb kockákra, darabokra a csülköt és a füstölt csontot, majd dobjuk a bográcsba ésforgassuk össze a pirított hagymával. 4. Adjuk hozzá a kockákra és karikákra vágott zöldségeket és a maradék vöröshagymát egészben (1-1 répát egészben szoktam hagyni). Vizet még mindig nem kell hozzá adni!!! Viszont elég sűrűn kevergessük, rázogassuk. 5. Fűszerezzük a tárkony felével, borssal, köménnyel, babérlevéllel, pirospaprikával és az ételízesítővel. Figyelem! Sót nem kell hozzátenni, mert a csülök és az ételízesítőelég sót tartalmaz! Ha mégis sózni szeretnénk, csak is főzés vége felé, mikor már kellően összeértek az ízek. 6. Kb. 1/2 óra párolás után (mikor az ízek már összeértek), öntsük fel a bográcsot vízzel. Jelenesetben ez kb. 6-7 liter vizet jelent. 7. Adjuk hozzá a marhahúsleves kockát és a megmaradttárkonyt. 8. Amikor felforrt, adjuk hozzá a babot is. 9. Amíg fő a leves, készítsük el a csipetkét. Gyúrjuk össze a hozzávalókat félkeményre (aki szereti, 1 gerezd áttört fokhagymát dolgozzon bele a tésztába (érdemes kipróbálni, isteni finom vele!:). Készítsünk ki egy belisztezett tálcát, majd söndörgessük rá a csipetkék """"millióit"""":) 10. Kb.1 óra főzés után készítsük el a rántást, majd az ecettel együtt, óvatosan keverjük a leveshez. (Szedjünk át a levesből, és ha már kellően felhigult a rántásunk, folyamatosan kevergetve adjuk a bogrács tartalmához.) 11. A főzés befejezte előtt kb. 1/2 órával, adjuk hozzá a száraz vörösbort és legvégül a csipetkét. 12. Ha a csipetkék feljöttek a leves felszínére, kész az étel.";1 ek tárkony, 5 kis db sárgarépa, 3 kis db fehérrépa, 3 közepes db burgonya, 3 gerezd fokhagyma, 3 közepes db vöröshagyma, 1 közepes db zeller, 1 kis db karalábé, 200 g vörösbab, 200 g fehérbab, 1 csokor petrezselyem, 5 db babérlevél, 1.5 kg sertéscsülök, 30 dkg sertéscsont, 5 dkg sertészsír, 1 ek cukor, 1 db leveskocka, 0.5 ek bors, 0.5 ek őrölt fűszerkömény, 1 teáskanál fűszerpaprika, 1 ek ételízesítő, 4 ek ecet, 1.5 dl száraz vörösbor, 5 evőkanál finomliszt, 2 ek sertészsír, 2 gerezd fokhagyma, 5 evőkanál finomliszt, 2 db tojás, só ízlés szerint, 450 g tejföl
Brokkoli krémleves;20;egyszerű;"1. A brokkolit megmossuk és rózsáira szedjük, majd 1 l vízben főni tesszük. 2. Sózzuk, beletesszük a zabpelyhet, és a brokkolit puhára főzzük. 3. Néhány fej brokkolit félreteszünk """"levesbetétnek"""", a maradékot pedig összeturmixoljuk. 4. (Ha túl sűrű lenne, kevés vízzel hígitjuk és a szerecsendióval fűszerezzük.) 5. A brokkolifejeket visszatesszük a levesbe, és azon melegében tálaljuk.";250 g brokkoli, 8 ek zabpehely, 0.5 tk só, 1 kk szerecsendió, 1 l víz
Húsleves;150;bonyolult;1. A tyúkot és a csontot hideg vízben áztatjuk, jól kimossuk, és hideg vízben feltesszük főzni. 2. Ha felforr, megsózzuk, utána leszedjük a habját. 3. Beletesszük a megtisztított zöldségeket és fűszereket. 4. Lassú tűzön főzzük 2 óra hosszat. 5. Megkóstoljuk, ha szükséges utánízesítjük. 6. Leszűrjük és cérnametélttel tálaljuk. 7. A megfőtt tyúkot és a húsoscsontot mellé kínáljuk.;3 nagy db sárgarépa, 2 nagy db fehérrépa, 1 kis db zeller, 1 közepes db karalábé, 1 kis fej vöröshagyma, 50 dkg tyúkhús, 2 l víz (egy kicsit több, mint amennyi ellepi a zöldségeket és a húst), 1 ek só, 2 teáskanál fekete bors (kb. 25 szem), 25 dkg csigatészta, 1 db leveskocka
Rakott krumpli;90;egyszerű;"1. Főzzük meg héjában a krumplit és a tojásokat is. Mindkét alapanyag ha megfőtt, pucoljuk meg, és vágjuk őket szeletekre. 2. Míg a krumpli és tojás fő, addig vágjuk fel a kolbászt is karikákra. 3. A zsírt olvasszuk meg, keverjük bele a tejfölt, és picit sózzuk meg, majd egy nagy tepsi alját ezzel kenjük ki. Karikázzuk fel a tojásokat és a krumplit. 4. Első rétegnek a burgonya jöjjön, amit ha lepakoltunk, locsoljunk meg a zsíros tejföllel. Erre jöhet a tojás, amit ugyancsak zárásként locsoljunk meg. Majd a kolbászokat is rakjuk le egy rétegben, és zárásként a maradék burgonyát. 5. A maradék tejföllel locsoljuk meg az egészet, nem baj, ha kicsit """"tocsog"""" a tejfölben a rakott krumpli, másnap annál jobb lesz. 6. A tepsit tegyük 200 fokra előmelegített sütőbe, és 1 órán át süssük a krumplit. Ha kész, vegyük ki, egy picit pihentessük, aztán már fogyaszthatjuk is!";4 közepes db burgonya, 5 db főtt tojás, 25 dkg kolbász, 660 g tejföl, 2 ek sertészsír, só ízlés szerint
Brassói aprópecsenye;75;egyszerű;1. A húst felkockázzuk, a kétfajta szalonnát szintén. 2. A szalonnát zsírjára pirítjuk, a pörcöket kivesszük a serpenyőből, és a visszamaradt zsíron nagy lángon kicsit megpirítjuk a húskockákat. Ha már kis színt kaptak, akkor hozzáadjuk a fűszerpaprikát, elkeverjük, majd mehet hozzá a kis kockára vágott paradicsom és felkarikázott paprika. 3. Hozzáadjuk a finomra vágott fokhagymát, és kis lángon, lefedve, időnként megkavarva kb. 90 percig főzzük. Ha szükséges lenne, időnként önthetünk alá egy pici vizet, de ne sokat, mert a sűrű szaft a lényeg. 4. Mikor már majdnem készen van, forró olajban kisütjük a kis kockára vágott krumplikat, majd szűrőpapírra szedjük. 5. Ha a hús megpuhult, visszaöntjük az edénybe a szalonnapörcöket, hozzáadjuk a forró krumplit, összekeverjük, és azonnal tálaljuk.;60 dkg sertéslapocka, 80 dkg burgonya, 5 gerezd fokhagyma, só ízlés szerint, bors ízlés szerint, 1 ek fűszerpaprika, 0.5 közepes db hegyes erős paprika, 2 közepes db paradicsom, 10 dkg kolozsvári szalonna, 10 dkg bacon
Milánói makaróni;45;egyszerű;1. Egy nagyobb serpenyőben felforrósítjuk az olívaolajat. 2. Hozzáadjuk a finomra vágott vöröshagymát, majd 1-2 percig pároljuk rajta. Utána hozzáadjuk a kis kockákra vágott sonkát, és még egy két percig kevergetjük. 3. Mehet hozzá a vékony szeletekre vágott gomba. Ha túl hamar pirulna, akkor öntsünk alá egy fél deci vizet, és pároljuk 15 percen keresztül. Közben sózzuk, borsozzuk, hozzáadjuk az oreganót. 4. Ha letelt a 15 perc, adjuk hozzá a kétfajta paradicsomot és a cukrot, keverjük el, és főzzük újra 15 percig. 5. Közben lobogó sós vizben főzzük ki a makarónit, majd keverjük össze a szósszal. Sok sok reszelt trappistával megszórva azonnal tálaljuk.;3 ek olívaolaj, 1 közepes db vöröshagyma, 12 dkg sonka, 20 dkg csiperkegomba, 36 dkg konzerv paradicsom, 150 g sűrített paradicsom (kb. 2 dl), só ízlés szerint, bors ízlés szerint, 1 ek oregánó, 1 ek cukor, 50 dkg makaróni
Paprikás krumpli;120;egyszerű;1. A megtisztított krumplit felkockázzuk, és a hagymát is apróra felvágjuk. A kolbászt felkarikázzuk. 2. Az olajat megforrósítjuk, beletesszük a hagymát, üvegesre pároljuk, majd levesszük a tűzről. 3. Hozzátesszük a pirospaprikát, elkeverjük, beledobjuk a krumplit, a kolbászkarikákat, az apróra kockázott fokhagymát, pici vizet öntünk alá, és visszatesszük a tűzre. 4. Jól átforgatjuk, megsózzuk, megborsozzuk, és annyi forró vizet öntünk rá, hogy épp ellepje. Lefedjük, és puhára főzzük.;1.5 kg burgonya, 1 közepes fej vöröshagyma, 1 gerezd fokhagyma, 2 db paradicsom, 2 ek olívaolaj, 2 teáskanál fűszerpaprika, 1 teáskanál köménymag, 5 dkg kolbász, 70 g virsli, 2 db babérlevél, só ízlés szerint, bors ízlés szerint
Fasírt;25;egyszerű;1. A darált húst egy keverőtálba rakjuk, és egy hagymát nagy lyukú reszelőn ráreszelünk. Majd egy gerezd fokhagymát is hozzáreszelünk, vagy rányomunk. 2. A két tojást is a húshoz adjuk. 3.Sózzuk-borsozzuk, és a fűszerpaprikával is megszórjuk. 4. A zsemlét kis kockákra felvágjuk, és egy kis edényben felöntjük kevés tejjel. Pont annyival csak, amennyit könnyen felvesz a zsemle, és megpuhítja azt. Majd ezt a kenyérmasszát is a húshoz adjuk, amit aztán jól összekeverünk. 5. Bő olajban kisütjük a dió nagyságúra formált fasírtokat.;60 dkg darált sertéshús, 1 közepes db vöröshagyma, 1 gerezd fokhagyma, 2 db tojás, 2 ek fűszerpaprika, 1 db zsemle, 1 dl tej, bors ízlés szerint, só ízlés szerint, 3 dl napraforgó olaj
Grill csirke;55;egyszerű;1. A megtisztított csirkét 3-4 ek olivaolajjal kívül-belül bemasszírozzuk, és egyenletesenmegszórjuk kívül-belüla saját, frissenkészített grillfűszerkeverékünkkel. Alaposan rányomogatjuk, tepsibe tesszük, 1-2 ek olivaolajat rácsorgatunk. 2. Sütőben aranybarnára sütjük.;1 kg csirke, 4 ek olívaolaj, szárnyas fűszerkeverék ízlés szerint (grill fűszerkeverék)
Párizsi szelet;60;egyszerű;1. A tarját megmossuk, alaposan lecsöpögtetjük vagy letörölgetjük. Besózzuk és félretesszük, addig a krumplit megmossukés hajában feltesszük főni. Amíg a krumpli megfő, elkészítjük a rántott húst. 2. A zsírt egy (lehetőleg teflon)lábosba beletesszük és felforrósítjuk. 3. A tojásokat felütjük, megsózzuk és alaposan felverjük villával. A zsír forróságát 1-2 csepp tojással ellenőrizzük, ha azonnal feljön a felszínre, elég forró a zsír. 4. Lisztbe, majd tojásba forgatjuk a hússzeleteket és a forró zsírba tesszük. Egyszerre annyit, hogy elmerüljön a zsírba, de ne érjenek egymáshoz.Csak addig sütjük, amíg a bundája picit megpirul, így megtapad a húson. Kiszedjükegy tányérba, ezt az összes hússal megcsináljuk. 5. A hirtelen megsütött bepanírozott szeleteket visszatesszük a zsírba, lefedjük és takarékra vesszük. 6. Kb. 30 perc után villával óvatosan megforgatjuk a szeleteket (ami alul volt, felülre kerüljön) teljes puhulásig sütjük/ pároljuk (kb. 45 perc). 7. Ha puha a hús a fedőt levesszük, és csak addig sütjüktovább (magas hőfokon)a zsírban, míg a paníra megszokott színűre megpirul (kb. 10 perc). Alaposan lecsepegtetve kiszedjük és tálalásig melegen tartjuk. 8. A zsírban lévőpanírmorzsákat hagyjuk leülepedni az edényben, majd a tiszta zsírt öntsük le róla. Kb. fél ujjnyit hagyjunk csak az edényben. 9. A megfőtt krumplit megpucoljuk és belekarikázzuk a maradék zsírba. Megsózzuk, felforrósítjuk ésráöntjük a kimaradt tojást. Gyors kevergetéssel csak addig sütjük, amíg a tojás rátapad a krumplira, de nem keményedik meg.;1600 g sertéstarja (8 szelet), 100 dkg sertészsír, 4 db tojás, 15 dkg finomliszt, só ízlés szerint
Sült kolbász, hurka;100;egyszerű;1. A hurkát és a kolbászt egy tepsibe rakjuk, és mindkét oldalukat alaposan megszurkáljuk hústűvel. 2. A tepsibe öntünk 1 dl vizet. 3. 200 fokra előmelegített sütőben, alsó-felső sütési fokozaton, 1 óráig sütjük. 4. 1 óra elteltével a hurkát és a kolbászt ismét megszurkáljuk, átfordítjuk őket a másik oldalukra, és visszarakjuk a sütőbe további 30 percre. 5. Krumplipürével és bármilyen savanyúsággal is tálalhatjuk.;25 dkg májas hurka, 30 dkg sütnivaló kolbász, 1 dl víz
Krumpli püré;40;közepes;1. A megtisztított krumplit,sárgarépát afokhagymávalegyütt kissé sós vízbenmegfőzzük. 2. Együtt áttörjük, hozzáadjuk a kókusztejet, erőteljesebben sózzuk, borsozzuk. 3. Apróra vágjuk a chilit, akoriandert, és hozzákeverjük a püréhez.;750 g burgonya, 420 g sárgarépa, 1 gerezd fokhagyma, 100 ml kókusztej, só ízlés szerint, fekete bors ízlés szerint, 1 db chili, 1 csokor koriander
Nokedli;45;bonyolult;1. Az alapanyagokból közepesen lágy masszát keverünk (tálban, fakanállal). Nem kell túlságosan kidolgozni a tésztát. 2. Bő, lobogó, sós vízben (4-5 l vízhez 3 tk só és 1-2 ek olaj) több részletben kifőzzük a galuskát: vagy nokedliszaggató segítségével, vagy pedig egyszerűen deszkára teszünk a tésztából és egy éles, bevizezett kés segítségével beleszaggatjuk a nokedlit a vízbe. 3. Amint feljönnek a víz felszínére, szűrővel kivesszük és tálba tesszük a kész galuskákat.;400 g finomliszt, 1 db tojás, 1 tk só, 3 dl víz
Krumpli főzelék;40;egyszerű;1. A krumplit megmossuk, megpucoljuk, felkockázzuk, vagy karikára vágjuk - ahogy szeretjük. 2. Az olajat egy közepes lábasban felhevítjük, hozzáadjuk a fűszerpaprikát, és 1 percig kis lángon melegítjük, majd hozzáadjuk a krumplit, és összekeverjük. 3. Felöntjük annyi vízzel, amennyi pont ellepi a krumplit, megszórjuk majorannával, sózzuk, hozzátesszük a babérlevelet, és lefedve főzzük kb. 25 percig, míg a krumpli megpuhul. 4. Közben a tejfölt kikeverjük a liszttel, és belemerünk egy merőkanállal a főzelék levéből. Csomómentesre keverjük, majd visszaöntjük a főzelékbe. 5. Elkeverjük, és még 5 percig főzzük kis lángon, hogy kicsit besűrűsödjön.; 2 ek napraforgó olaj, 1 teáskanál fűszerpaprika, 70 dkg burgonya, 2 ek majoranna, 3 db babérlevél, só ízlés szerint, 2 dl tejföl, 1.5 dkg finomliszt, 4 dl víz (kb.)
Lencsefőzelék;60;egyszerű;1. Az átválogatott lencsét hideg vízbe áztatjuk egy éjszakára. Másnap leszűrjük, és egy megfelelő nagyságú fazékba beleöntjük. 2. Hozzáadjuk az apróra fölvágott vöröshagymát, fokhagymát, babérlevelet. Fölöntjük kb. 1.6 liter vízzel. Sózzuk, és borssal megszórjuk. Közepes hőfokon főzzük. 3. Közben elkészítjük a lisztből és az olajból a rántást, a legvégén megszórjuk még pirospaprikával. 4. Amikor megpuhult a lencse, belekeverjük a rántást, kicsit összefőzzük, és még hozzákeverjük a tejfölt, ízlés szerint a mustárt is. 5. Kínálhatunk hozzá ecetet vagy citromlevet. Én sertéspörkölttel szoktam kínálni, vagy füstölt szárazkolbászt kevés olajon összesütök vöröshagymával, és úgy kínálom. Jó étvágyat.; 250 g lencse, 1 közepes db vöröshagyma, 3 gerezd fokhagyma (nagy), 1 db babérlevél (egy nagy), 1 ek mustár (ízlés szerint), só ízlés szerint, 1.6 l víz, fekete bors ízlés szerint, 4 ek napraforgó olaj (amennyi szükséges), 2 ek finomliszt, 1 teáskanál fűszerpaprika, 150 ml tejföl
